Lambda,Algorithm,Count,Mean Normalized Accuracy,Std Norm Accuracy,Mean Normalized Energy,Std Norm Energy,mean_latency_norm,std_latency_norm,Mean Reward,Std Reward,Mean Total Energy (Wh),Std Total Energy (Wh)
0.0,accuracy,20,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.6850036129066008,0.0,731.4273224816835,0.0
0.0,epsilon_greedy,20,0.6707177111992827,0.015862351596269936,0.39222852034629635,0.14912273959886768,0.4570884405186331,0.1748959893666814,0.6707177111992827,0.015862351596269936,562.0087882223434,172.9085993074059
0.0,largest,20,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.38419378669728327,0.0,440.4658335067344,0.0
0.0,linear_epsilon_greedy,20,0.6664648811110705,0.010275326035699781,0.2788768123118806,0.06590603652611504,0.31729639274127824,0.0793673101416121,0.6664648811110705,0.010275326035699781,355.9471070657413,124.7663164575325
0.0,linucb,20,0.6527672124384718,0.012235933821867058,0.2282247687483981,0.03247514407011054,0.2627910233032221,0.03940077663044946,0.6527672124384718,0.012235933821867058,260.1167713903577,56.31108422241276
0.0,random,20,0.5138326022709205,0.010517084914837847,0.16706383420263976,0.002979758179402218,0.20465644354756204,0.002657198591297422,0.5138326022709205,0.010517084914837847,238.4249979676522,6.882030496214078
0.0,smallest,20,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.3224971670309777,0.0,52.463203797571865,0.0
0.0,thompson_sampling,20,0.6469688340220376,0.012766433898716087,0.2357643341287071,0.034516479650974395,0.27475938612257766,0.044029804870488465,0.6469688340220376,0.012766433898716087,282.79092737790086,98.87607147602722
0.1,accuracy,20,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.6627722923067794,0.0,731.4273224816835,0.0
0.1,epsilon_greedy,20,0.6554156051687813,0.03408088004159526,0.32162233096634185,0.17004971770023544,0.37462554688903765,0.1976600977837219,0.6577118115552689,0.02212438291314831,465.88510333497777,213.5254565495422
0.1,largest,20,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.40455117610876756,0.0,440.4658335067344,0.0
0.1,linear_epsilon_greedy,20,0.646543596740536,0.03216253710152038,0.20815028305142408,0.05229715321933962,0.24081681964122192,0.052935280300702714,0.6610742087613399,0.025825447015093567,296.59188559477553,97.4626030020043
0.1,linucb,20,0.6528373431911451,0.006385425005493079,0.2143604986404651,0.025291269014122462,0.24419693391991024,0.027771284174032112,0.6661175590079841,0.006789048291452506,278.5617986944126,55.66697895827651
0.1,random,20,0.5082436617514371,0.00914026028630308,0.1673400216325632,0.0034416223316517626,0.20421576359642074,0.0036046938063997356,0.5406852934130371,0.008244778108556765,237.00528336030843,8.255034402036522
0.1,smallest,20,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.38546213949504643,0.0,52.463203797571865,0.0
0.1,thompson_sampling,20,0.6387363693788605,0.014426923954051507,0.2039039134786206,0.03053000380848556,0.23361411126486226,0.02727316546818026,0.6544723410931124,0.011105679721752236,275.2944018552659,66.91807836799931
0.2,accuracy,20,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.6405409717069579,0.0,731.4273224816835,0.0
0.2,epsilon_greedy,20,0.6384688789267675,0.04242754273730049,0.20418410342122978,0.08631090208474296,0.23648886713372655,0.09828778860004929,0.6699382824571681,0.026614483305952282,318.846468919907,125.14173971141604
0.2,largest,20,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.4249085655202519,0.0,440.4658335067344,0.0
0.2,linear_epsilon_greedy,20,0.6340596273017749,0.022654936837229214,0.1823224843486642,0.03987906050093464,0.21553045615965166,0.048593497699034795,0.6707832049716871,0.015247407756913745,231.24252099139034,66.8531275633249
0.2,linucb,20,0.6384804916822671,0.02032968906577243,0.17238928788376656,0.02502598708405091,0.19822406768854606,0.020153575227855842,0.6763065357690603,0.012903815844695002,219.5093235688593,64.03741953654418
0.2,random,20,0.5099422594256356,0.006303233834602619,0.16717038922860425,0.0027491441517703496,0.20329395840838868,0.002935385579773493,0.5745197296947877,0.0050209760950129505,237.92724497075105,4.565168399198341
0.2,smallest,20,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.44842711195911517,0.0,52.463203797571865,0.0
0.2,thompson_sampling,20,0.6401469725792804,0.013447283784407946,0.18520970639555717,0.024732159294931694,0.21514061507090942,0.026439325465640786,0.6750756367843129,0.00872765189626332,225.38785449520856,44.319996011882196
0.3,accuracy,20,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.6183096511071363,0.0,731.4273224816835,0.0
0.3,epsilon_greedy,20,0.6337768450795456,0.04333195059315959,0.175877155947605,0.05491916625161929,0.20707735956487533,0.05968339230743087,0.6908806447714004,0.015549764484690535,285.4737525614652,103.11522200887933
0.3,largest,20,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.4452659549317362,0.0,440.4658335067344,0.0
0.3,linear_epsilon_greedy,20,0.6499966937398945,0.01588614684074058,0.17706066349767902,0.023551239840957097,0.1985461661208852,0.020613847296681847,0.7018794865686224,0.010249668362343771,255.56350419218134,66.86440646618797
0.3,linucb,20,0.6333316047334443,0.01191207727430848,0.1643396627328231,0.02103109026086985,0.19188356409384472,0.019367844435067397,0.6940302244935641,0.008628766988433978,215.3845896870016,41.96633780168405
