lambda_weight,run_id,algorithm,accuracy_norm,energy_per_token_norm,latency_norm,reward,total_energy_wh
0.0,40,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6850036129066008,731.4273224816835
0.0,40,epsilon_greedy,0.6723684514539328,0.4979806314899367,0.5806593926622018,0.6723684514539328,684.0494997550181
0.0,40,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.38419378669728327,440.4658335067343
0.0,40,linear_epsilon_greedy,0.6728213099729485,0.32081622363975215,0.37102949874073854,0.6728213099729485,450.1159778426874
0.0,40,linucb,0.6686024875919233,0.25976540689099686,0.2950694333795841,0.6686024875919233,298.0146990203884
0.0,40,random,0.5293463600306826,0.16578568031220894,0.20274589089853245,0.5293463600306826,233.96846527326187
0.0,40,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.3224971670309777,52.46320379757186
0.0,40,thompson_sampling,0.6557637920259228,0.2795957525880355,0.3449553927292668,0.6557637920259228,251.65619086798736
0.0,41,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6850036129066008,731.4273224816835
0.0,41,epsilon_greedy,0.6747802350819168,0.21862661333428882,0.2641708648842071,0.6747802350819168,379.60316114954855
0.0,41,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.38419378669728327,440.4658335067343
0.0,41,linear_epsilon_greedy,0.6625107296300695,0.2288240868889141,0.23829371609301642,0.6625107296300695,317.1404672451116
0.0,41,linucb,0.671847749346503,0.2271696681544649,0.24792821931323225,0.671847749346503,292.5604103523496
0.0,41,random,0.5183526765574347,0.16872057881054137,0.2049257683279742,0.5183526765574347,237.14464356607132
0.0,41,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.3224971670309777,52.46320379757186
0.0,41,thompson_sampling,0.6614035788570592,0.22923611647490785,0.2502218963530562,0.6614035788570592,293.7882962289422
0.0,42,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.6850036129066008,731.4273224816835
0.0,42,epsilon_greedy,0.6792986697903964,0.5241075351348411,0.6115095293131191,0.6792986697903964,715.2634889237073
