feature_set,mean_final_regret,std_final_regret,min_final_regret,max_final_regret
None,455.08642874809414,,455.08642874809414,455.08642874809414
Cluster,436.3008775441613,,436.3008775441613,436.3008775441613
Complexity,506.39889931214793,,506.39889931214793,506.39889931214793
Task,419.84397111899284,,419.84397111899284,419.84397111899284
Cluster + Complexity,436.71371733305654,,436.71371733305654,436.71371733305654
Task + Cluster,414.6858471547358,,414.6858471547358,414.6858471547358
Task + Complexity,416.18251973822413,,416.18251973822413,416.18251973822413
Full Features,440.94781522371693,,440.94781522371693,440.94781522371693
