run_id,feature_set,query_index,chosen_model,step_regret,algorithm,cumulative_regret
40,None,1875,llama-3.1-8b,0.02679628144513546,epsilon_greedy,349.5297349545225
40,None,1662,llama-3.1-8b,0.07350046500919538,epsilon_greedy,313.9505745082717
40,None,1663,llama-3.1-8b,0.014263385623192959,epsilon_greedy,313.96483789389487
40,None,1664,llama-3.1-8b,0.5271989363686069,epsilon_greedy,314.4920368302635
40,None,1665,llama-3.1-8b,0.5128552690542643,epsilon_greedy,315.0048920993178
40,None,1666,llama-3.1-8b,0.593061028252232,epsilon_greedy,315.59795312757
40,None,1667,llama-3.1-8b,0.054372865649478075,epsilon_greedy,315.65232599321945
40,None,1668,llama-3.1-8b,0.14787960252033683,epsilon_greedy,315.8002055957398
40,None,1669,llama-3.1-8b,0.00772721083061545,epsilon_greedy,315.8079328065704
40,None,1670,llama-3.1-8b,0.5447406005311002,epsilon_greedy,316.3526734071015
40,None,1671,llama-3.1-8b,0.03451543504636578,epsilon_greedy,316.38718884214785
40,None,1672,llama-3.1-8b,0.08333161258733912,epsilon_greedy,316.4705204547352
40,None,1673,llama-3.1-8b,0.5597450177200864,epsilon_greedy,317.0302654724553
40,None,1674,llama-3.1-8b,0.013151392140626106,epsilon_greedy,317.04341686459594
40,None,1675,llama-3.1-8b,0.01604906250366389,epsilon_greedy,317.0594659270996
40,None,1676,llama-3.1-8b,0.5556980761053749,epsilon_greedy,317.615164003205
40,None,1661,llama-3.1-8b,0.5660352482588601,epsilon_greedy,313.8770740432625
40,None,1660,llama-3.1-8b,0.5948012492883084,epsilon_greedy,313.31103879500364
40,None,1659,llama-3.1-8b,0.5047965713045199,epsilon_greedy,312.71623754571533
40,None,1658,llama-3.1-8b,0.039600485427749854,epsilon_greedy,312.2114409744108
40,None,1642,llama-3.1-8b,0.07881823077342587,epsilon_greedy,307.7328979774543
40,None,1643,llama-3.1-8b,0.05872717705755859,epsilon_greedy,307.79162515451185
40,None,1644,llama-3.1-8b,0.5163862271818425,epsilon_greedy,308.3080113816937
40,None,1645,llama-3.1-8b,0.5136580353228399,epsilon_greedy,308.82166941701655
40,None,1646,llama-3.1-8b,0.48461243474841403,epsilon_greedy,309.30628185176494
40,None,1647,llama-3.1-8b,0.02626021057185224,epsilon_greedy,309.3325420623368
40,None,1648,llama-3.1-8b,0.08842511720513224,epsilon_greedy,309.42096717954195
40,None,1677,llama-3.1-8b,0.0,epsilon_greedy,317.615164003205
40,None,1649,llama-3.1-8b,0.06509384893692538,epsilon_greedy,309.48606102847884
40,None,1651,llama-3.1-8b,0.06438233178106456,epsilon_greedy,310.05260327350044
40,None,1652,llama-3.1-8b,0.5135685483430965,epsilon_greedy,310.56617182184357
40,None,1653,llama-3.1-8b,0.05360031740756788,epsilon_greedy,310.6197721392511
40,None,1654,qwen2.5-0.5b,0.0,epsilon_greedy,310.6197721392511
40,None,1655,llama-3.1-8b,0.5130011400724861,epsilon_greedy,311.1327732793236
40,None,1656,llama-3.1-8b,0.5124046428997397,epsilon_greedy,311.64517792222335
40,None,1657,llama-3.1-8b,0.5266625667597133,epsilon_greedy,312.17184048898304
40,None,1650,llama-3.1-8b,0.502159913240529,epsilon_greedy,309.98822094171936
40,None,1641,llama-3.1-8b,0.17383291057507633,epsilon_greedy,307.65407974668085
40,None,1678,llama-3.1-8b,0.050451895239456035,epsilon_greedy,317.6656158984444
40,None,1680,llama-3.1-8b,0.12076143466972034,epsilon_greedy,317.86718102602555
40,None,1701,llama-3.1-8b,0.062119507391358186,epsilon_greedy,322.00514378694635
40,None,1702,llama-3.1-8b,0.046331424943979016,epsilon_greedy,322.05147521189036
40,None,1703,llama-3.1-8b,0.566437816680682,epsilon_greedy,322.617913028571
40,None,1704,llama-3.1-8b,0.05354629662807886,epsilon_greedy,322.6714593251991
40,None,1705,llama-3.1-8b,0.032728753111455955,epsilon_greedy,322.70418807831055
40,None,1706,llama-3.1-8b,0.5488129915498522,epsilon_greedy,323.25300106986043
40,None,1707,llama-3.1-8b,0.039372712907735585,epsilon_greedy,323.29237378276815
40,None,1708,llama-3.1-8b,0.06047626780341864,epsilon_greedy,323.3528500505716
40,None,1709,llama-3.1-8b,0.0725911007796175,epsilon_greedy,323.4254411513512
40,None,1710,llama-3.1-8b,0.06658460849399694,epsilon_greedy,323.4920257598452
40,None,1711,llama-3.1-8b,0.04425535676711723,epsilon_greedy,323.5362811166123
40,None,1712,llama-3.1-8b,0.06613456815264906,epsilon_greedy,323.60241568476494
40,None,1713,llama-3.1-8b,0.004170368603582109,epsilon_greedy,323.6065860533685
40,None,1714,llama-3.1-8b,0.004124026215057808,epsilon_greedy,323.6107100795836
40,None,1715,llama-3.1-8b,0.5075107566909531,epsilon_greedy,324.11822083627453
40,None,1700,llama-3.1-8b,0.5278197232522303,epsilon_greedy,321.943024279555
40,None,1699,llama-3.1-8b,0.08256470279602579,epsilon_greedy,321.4152045563028
40,None,1698,llama-3.1-8b,0.07669571017125065,epsilon_greedy,321.33263985350675
40,None,1697,llama-3.1-8b,0.10297658862932069,epsilon_greedy,321.2559441433355
