feature_set,mean_final_regret,std_final_regret,min_final_regret,max_final_regret
None,468.1213444582155,29.318677101091932,428.3541103886933,542.5157016295844
Cluster,467.41049323618125,21.467116771713346,430.6298063990397,505.9125916397776
Complexity,500.3685556219927,23.552945951026125,437.3338610437878,528.3600394344849
Task,447.6780403979645,17.123861226975887,421.3646934108554,476.1530339611906
Cluster + Complexity,442.7681005068147,17.906069359219536,411.09111006973365,477.367864227392
Task + Cluster,421.19814870594325,18.227243118417366,388.13458226036613,457.4147245060578
Task + Complexity,416.87154852664054,19.594207801746442,384.50338585291627,462.4377902390128
Full Features,427.25317953451895,13.764195586514276,405.36236777506025,456.3169657405427
