Algorithm,Mean Final Regret,Std Final Regret,Count,Mean Normalized Accuracy,Std Norm Accuracy,Mean Normalized Energy,std_energy_per_token_norm,mean_latency_norm,std_latency_norm,Mean Reward,Std Reward,Mean Final Reward,Std Final Reward
accuracy,851.202673929849,,1,0.6850036129066008,,0.5373095930916143,,0.6258397028689867,,0.5738470099074934,,1434.6175247687333,
epsilon_greedy,455.08642874809414,,1,0.5973907038291962,,0.1328036878688058,,0.15198148260301897,,0.7322935079801952,,1830.733769950488,
largest,1070.86836431182,,1,0.38419378669728327,,0.4122323191878735,,0.4059649715387025,,0.48598073375470485,,1214.9518343867621,
linear_epsilon_greedy,407.0496278834186,,1,0.6063863565821097,,0.1033698999299788,,0.12973955304733514,,0.7515082283260655,,1878.7705708151636,
linucb,387.9098619485785,,1,0.633757422186021,,0.11542915278601813,,0.14398651341665225,,0.7591641347000015,,1897.9103367500038,
random,621.296323485754,,1,0.49868476079149016,,0.16706566062122755,,0.20261343038225782,,0.6658095500851313,,1664.5238752128282,
smallest,692.5151253202789,,1,0.3224971670309777,,0.04785310832833502,,0.08831793858344318,,0.6373220293513213,,1593.3050733783034,
thompson_sampling,456.75813662180275,,1,0.5506892252664366,,0.087439575605013,,0.10991366029467951,,0.7316248248307118,,1829.0620620767795,
