Algorithm,Mean Final Regret,Std Final Regret,Count,Mean Normalized Accuracy,Std Norm Accuracy,Mean Normalized Energy,std_energy_per_token_norm,mean_latency_norm,std_latency_norm,Mean Reward,Std Reward,Mean Final Reward,Std Final Reward
accuracy,851.202673929849,0.0,20,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.5738470099074934,0.0,1434.6175247687333,0.0
epsilon_greedy,468.1213444582155,29.318677101091932,20,0.6100416871606043,0.04593597588346623,0.15588260376831087,0.04949365019847944,0.18893681529747902,0.0567113665745937,0.7270795416961466,0.01172747084043677,1817.698854240367,29.31867710109199
largest,1070.86836431182,0.0,20,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.4859807337547048,0.0,1214.9518343867621,0.0
linear_epsilon_greedy,436.0943022449986,20.09615810143837,20,0.6143484407980053,0.01870996419411652,0.13456772363513841,0.020455365259495786,0.16795225229676677,0.01961950548731725,0.7398903585814335,0.008038463240575376,1849.7258964535836,20.096158101438355
linucb,430.40673550197073,13.19423944779689,20,0.6063729823019266,0.009046650205192124,0.12204221174463736,0.008256860414615694,0.15335191902843567,0.007844718999312992,0.7421653852786446,0.0052776957791187545,1855.4134631966117,13.194239447796896
random,604.8904886356962,10.391913277423694,20,0.5119653487747785,0.008192451834957518,0.16722158072446974,0.002301687423792707,0.20437073864976196,0.0024822720709619436,0.6723718840251544,0.0041567653109694834,1680.929710062886,10.391913277423775
smallest,692.5151253202789,0.0,20,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.6373220293513213,0.0,1593.3050733783034,0.0
thompson_sampling,439.3126954587586,12.748510205459292,20,0.6029970902056756,0.00937241085141883,0.1257910876138167,0.009470282555220278,0.15690026375309146,0.008322236875999011,0.7386030012959295,0.005099404082183724,1846.5075032398236,12.748510205459285
